time,Point_1,Point_2,Point_3,Point_4,Point_5,Point_6,Point_7,Point_8,Point_9,Point_10
0.005,0.1622974415022213,0.0014143759478806622,0.12736384961514255,0.08664282610784617,0.008427726468835281,0.2966352454327967,0.013616806013040834,0.0505355810739808,0.004008629589138734,0.00535935481137385
0.01,0.32485347871700954,0.004584346444396783,0.260580493874141,0.19361230836456292,0.021078066949940143,0.563535131004107,0.033014162645547095,0.11050984632220881,0.012401875710920125,0.013845588140413409
0.015,0.48637157454404617,0.009978696937020323,0.39761613812738134,0.31502803071900015,0.03779156930890735,0.8058881945080684,0.057642405727713744,0.17734203782667662,0.02568228248892069,0.025604646932129393
0.02,0.6459438550030401,0.017890211343394122,0.5365545556263155,0.44490999649535184,0.058186576972459596,1.028361097358579,0.08674885331631978,0.2490681680090653,0.04413159393224304,0.04053644710768632
0.025,0.8026496810447208,0.028325208014358744,0.6757353325361349,0.5803603051417829,0.08168579614129695,1.2345184876433097,0.11950317517013444,0.324190479720761,0.06749048386341854,0.05828412737715011
0.030000000000000002,0.9560480738013195,0.04113150407924192,0.8141559863768607,0.7185114036624124,0.10769978114651893,1.4269934797150758,0.15510218703501596,0.401546875567209,0.09531414822647782,0.07843390490801205
0.035,1.1058428935137503,0.056034473651908695,0.9510374281007192,0.8578059432289163,0.13567667742895784,1.60783236170249,0.19284485435099974,0.48024126193579475,0.12696269005154043,0.10054401759491695
0.04,1.2518645827058443,0.07271991831386998,1.085853159234115,0.9968150159919352,0.16512257609061054,1.7786310001929249,0.23212736119315203,0.5595742757326753,0.16180179694718833,0.12419839519910665
0.045,1.3940479533774242,0.0908599985629026,1.2182340263424605,1.1347061427580158,0.19562135952643028,1.9406499263118582,0.272450982645523,0.6389978299109771,0.1991770603368771,0.14902366527652938
0.049999999999999996,1.5323653959965469,0.11014639823506911,1.347915742193651,1.2707690965033833,0.22681798758615604,2.0949044453442167,0.3134048815838419,0.7180820660014097,0.23851608549130374,0.1746909925621328
0.05499999999999999,1.6668454476438532,0.13029778232278294,1.4747318940311966,1.4045658620048231,0.25842436211132547,2.2422139834197354,0.3546558700163143,0.7964888902051507,0.279285570919724,0.20092419124242794
0.05999999999999999,1.7975296700869805,0.15106805065584056,1.5985647060702721,1.535758904876433,0.2902007060152532,2.383250990258324,0.3959355472163172,0.873953811923446,0.32104519944656973,0.22748748454285558
0.06499999999999999,1.9244848159364671,0.1722455813080417,1.7193532254439368,1.664127145471219,0.32195560360781467,2.518569466853633,0.43702822135587616,0.9502704547534966,0.36340270083054704,0.2541894534563925
0.06999999999999999,2.04778288342843,0.19365189025811175,1.8370617228748594,1.7895300239063283,0.3535327657908548,2.6486306144217746,0.4777628999053291,1.0252794285110949,0.4060459227302293,0.2808697785709746
0.075,2.1675045406531637,0.2151386517100916,1.9516858313568881,1.9118670596073803,0.3848086226523434,2.773821402375172,0.5180035037902927,1.0988589804472226,0.4487027980604851,0.30740114288520415
0.08,2.283732675053,0.23658359311108518,2.0632355667833853,2.031102485675861,0.4156843851301945,2.894468627107139,0.5576439949348003,1.170917793256127,0.49116357636969576,0.3336786714447914
0.085,2.396551017892251,0.25788760103613534,2.1717373113999106,2.147203525839862,0.44608272294356716,3.0108511484995955,0.5966013640779501,1.2413891623013118,0.5332473069537743,0.35962063193003496
0.09000000000000001,2.5060440044000525,0.2789704639094658,2.277226181856101,2.260189804973628,0.4759435950759418,3.1232082030789305,0.6348125383755823,1.310226229324238,0.5748193735376121,0.3851610534514992
0.09500000000000001,2.612293701323421,0.29976868259425177,2.379745126423363,2.3700668121506596,0.5052207792273851,3.231747334745478,0.6722296686671683,1.377398256048558,0.6157639891839551,0.4102496222823325
0.10000000000000002,2.7153819554271,0.32023188696601323,2.479342529164222,2.4768826895917853,0.533880055888963,3.3366496856182204,0.7088180220066799,1.4428874492761576,0.6559991911858032,0.43484698525636734
